#hod_parameters--lgm1    hod_parameters--lgl0    hod_parameters--g1    hod_parameters--g2    hod_parameters--scatter    hod_parameters--alfa_s    hod_parameters--b0    hod_parameters--b1    hod_parameters--b2
2.220105671933528344e-03 -8.145606111401249233e-04 2.679784177868545572e-03 -7.667234841582473183e-04 -3.296380240417279197e-03 -9.703609500361101920e-04 1.898647235951446150e-03 3.993884596800963745e-04 1.357257154861130706e-04
-8.145606111401249233e-04 8.895355231855124915e-04 -3.458577690623649854e-04 4.775065032356704117e-04 3.289047798133313476e-04 4.077112227260864348e-05 -4.963453973473335628e-04 6.258875056610626025e-05 4.554726342270637766e-04
2.679784177868545572e-03 -3.458577690623649854e-04 4.533365043789029832e-03 -5.983524044185325368e-04 -5.309884636728007083e-03 -1.664766992209234945e-03 2.564859855832803993e-03 7.277178493152313288e-04 1.216969995307852666e-03
-7.667234841582473183e-04 4.775065032356704117e-04 -5.983524044185325368e-04 6.068646094727041121e-04 8.125139284377251971e-04 1.550267335093618139e-04 -5.405778788791351435e-04 3.620935559989252169e-06 6.265512477102639071e-04
-3.296380240417279197e-03 3.289047798133313476e-04 -5.309884636728007083e-03 8.125139284377251971e-04 6.733662382911759225e-03 2.066442164650595607e-03 -3.269707131297370714e-03 -9.778662863340189734e-04 -1.055137989882251517e-03
-9.703609500361101920e-04 4.077112227260864348e-05 -1.664766992209234945e-03 1.550267335093618139e-04 2.066442164650595607e-03 6.969208877998313333e-04 -9.873767442893819583e-04 -3.099719906315905158e-04 -5.298723571897326779e-04
1.898647235951446150e-03 -4.963453973473335628e-04 2.564859855832803993e-03 -5.405778788791351435e-04 -3.269707131297370714e-03 -9.873767442893819583e-04 1.895932407958419996e-03 4.067107560523447679e-04 3.458614408505771682e-04
3.993884596800963745e-04 6.258875056610626025e-05 7.277178493152313288e-04 3.620935559989252169e-06 -9.778662863340189734e-04 -3.099719906315905158e-04 4.067107560523447679e-04 2.709272345110079602e-04 2.676222473126563771e-04
1.357257154861130706e-04 4.554726342270637766e-04 1.216969995307852666e-03 6.265512477102639071e-04 -1.055137989882251517e-03 -5.298723571897326779e-04 3.458614408505771682e-04 2.676222473126563771e-04 1.837522730089668262e-03
